"gene","vglut2_clusters","galr1"
"Cbarp",0.2032520325203252,0.4444444444444444
"Atp7a",0.18292682926829268,0.1111111111111111
"Ogdh",0.4349593495934959,0.7777777777777778
"Uqcrq",0.12601626016260162,0.3333333333333333
"Dclk2",0.6341463414634146,1
"Atg7",0.26422764227642276,0.5555555555555556
"Slc4a10",0.5670731707317073,0.7777777777777778
"Scyl2",0.22560975609756098,0.2222222222222222
"Bcan",0.2865853658536585,0.4444444444444444
"Ddr1",0.21341463414634146,0.5555555555555556
"Ctnnb1",0.3699186991869919,0.6666666666666666
"Emx1",0,0
"Impact",0.3475609756097561,0.5555555555555556
"Prkcz",0.4573170731707317,0.5555555555555556
"Plxna1",0.3170731707317073,0.6666666666666666
"St8sia2",0.3638211382113821,0.5555555555555556
"Aurka",0.012195121951219513,0
"Tiam1",0.516260162601626,0.6666666666666666
"Eif2ak4",0.31097560975609756,0.4444444444444444
"Spag6l",0.13211382113821138,0.3333333333333333
"Postn",0.006097560975609756,0
"Jade2",0.07520325203252033,0
"Ndel1",0.23780487804878048,0.4444444444444444
"Kdm1a",0.5,0.7777777777777778
"Pak6",0.2459349593495935,0.4444444444444444
"Nrn1l",0.008130081300813009,0
"Cpne1",0.34146341463414637,0.5555555555555556
"Spag6",0.0040650406504065045,0
"Flrt1",0.17682926829268292,0.3333333333333333
"Abl2",0.4715447154471545,0.7777777777777778
"Adam17",0.1402439024390244,0.2222222222222222
"Adamts1",0.016260162601626018,0
"Adcyap1",0.06097560975609756,0.1111111111111111
"Adnp",0.3597560975609756,0.7777777777777778
"Avil",0.0040650406504065045,0
"Agt",0.036585365853658534,0
"Ap2a1",0.3170731707317073,0.5555555555555556
"Apoe",0.25,0.4444444444444444
"Arsb",0.3231707317073171,0.3333333333333333
"Atf1",0.20121951219512196,0.1111111111111111
"Atp1b2",0.16056910569105692,0.2222222222222222
"Bmp4",0.026422764227642278,0
"Camk2b",0.5670731707317073,0.5555555555555556
"Cbfa2t2",0.4654471544715447,0.7777777777777778
"Cd24a",0.012195121951219513,0
"Scarb2",0.21341463414634146,0.2222222222222222
"Cflar",0.06707317073170732,0.1111111111111111
"Dmd",0.8760162601626016,1
"Ehd1",0.08536585365853659,0.1111111111111111
"Mark2",0.5426829268292683,0.8888888888888888
"Enc1",0.17886178861788618,0.5555555555555556
"Epor",0,0
"Bcl11a",0.4796747967479675,0.7777777777777778
"Fes",0.008130081300813009,0
"Fgfr1",0.27439024390243905,0.3333333333333333
"Fut9",0.5995934959349594,1
"Fyn",0.7012195121951219,1
"Fzd1",0.026422764227642278,0
"Grn",0.052845528455284556,0.1111111111111111
"Hspa5",0.22967479674796748,0.5555555555555556
"Hnrnpk",0.3333333333333333,0.3333333333333333
"Hspb1",0.008130081300813009,0
"Htr7",0.16463414634146342,0.3333333333333333
"Ikbkb",0.2682926829268293,0.1111111111111111
"Itga6",0.20528455284552846,0.1111111111111111
"Itgb1",0.40853658536585363,0.7777777777777778
"Itpr1",0.27235772357723576,0.2222222222222222
"Lrp1",0.47764227642276424,0.6666666666666666
"Lrp6",0.3475609756097561,0.2222222222222222
"Ltk",0.032520325203252036,0
"Lyn",0.34552845528455284,0.5555555555555556
"Mdk",0.032520325203252036,0
"Met",0.0040650406504065045,0
"Nck1",0.21747967479674796,0.5555555555555556
"Neu1",0.11788617886178862,0.3333333333333333
"Nf1",0.7235772357723578,1
"Nfe2l2",0.052845528455284556,0.2222222222222222
"Ngf",0.018292682926829267,0
"Nme1",0.14634146341463414,0.4444444444444444
"Nme2",0.13211382113821138,0.2222222222222222
"Nrxn1",0.975609756097561,1
"Musk",0.008130081300813009,0
"Ntrk3",0.5772357723577236,0.7777777777777778
"Ddr2",0.024390243902439025,0
"Kat2b",0.2967479674796748,0.1111111111111111
"Pcp4",0.27235772357723576,0.5555555555555556
"Prkci",0.17886178861788618,0.1111111111111111
"Prkd1",0.26422764227642276,0.3333333333333333
"Ptbp1",0.09552845528455285,0
"Twf1",0.07926829268292683,0.1111111111111111
"Ptn",0.5813008130081301,0.7777777777777778
"Ptpn5",0.4634146341463415,0.7777777777777778
"Ranbp1",0.1402439024390244,0.4444444444444444
"Ret",0.032520325203252036,0
"Rgs2",0.056910569105691054,0.1111111111111111
"Rit2",0.5142276422764228,0.7777777777777778
"Sf3a2",0.036585365853658534,0.2222222222222222
"Cx3cl1",0.07926829268292683,0.1111111111111111
"Serpinf1",0.016260162601626018,0
"Sphk1",0.008130081300813009,0
"Serpini1",0.3089430894308943,0.3333333333333333
"Serpine2",0.3394308943089431,0.6666666666666666
"Ppp2r5d",0.16463414634146342,0.5555555555555556
"Tenm3",0.7621951219512195,0.8888888888888888
"Ror1",0.13008130081300814,0.3333333333333333
"Ror2",0.10975609756097561,0.3333333333333333
"Magi2",0.9308943089430894,1
"Camk1",0.34552845528455284,0.5555555555555556
"Ddx56",0.04878048780487805,0.2222222222222222
"Ahi1",0.8333333333333334,0.7777777777777778
"Snx3",0.2621951219512195,0.6666666666666666
"P3h1",0.1016260162601626,0.2222222222222222
"Mtor",0.4451219512195122,0.6666666666666666
"Gprc5b",0.07520325203252033,0.2222222222222222
"Retreg3",0.1565040650406504,0.4444444444444444
"Ndnf",0.04878048780487805,0.2222222222222222
"Dab2ip",0.3699186991869919,0.5555555555555556
"Tmem30a",0.18699186991869918,0.6666666666666666
"Ube2v2",0.2703252032520325,0.5555555555555556
"Ptk7",0.20934959349593496,0.6666666666666666
"Gpc2",0.042682926829268296,0
"Plppr5",0.29065040650406504,0.3333333333333333
"Rapgef2",0.5691056910569106,0.7777777777777778
"Styxl1",0.02032520325203252,0.1111111111111111
"Kidins220",0.7195121951219512,1
"Nckipsd",0.11382113821138211,0.2222222222222222
