p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
6.720288153279207e-23,0.21807388228131397,0.975,0.819,1.4239618567983312e-18,1,Ank2
6.746276514473257e-23,0.2620174755624911,0.98,0.683,1.4294685306517385e-18,1,Pcdh9
8.934028930971059e-23,0.2875404959286121,0.72,0.384,1.893031390183458e-18,1,Gap43
1.1274303571506753e-22,0.21637058699445366,0.93,0.483,2.388912183766566e-18,1,Dlg2
2.381960766234266e-22,0.2656687083943441,0.43,0.106,5.047136667573786e-18,1,Trpc5
2.4563562629953887e-22,0.2605378503946896,0.965,0.8,5.204773285660929e-18,1,Dlgap1
3.928336420298807e-22,0.4544567403907087,0.555,0.278,8.323752040971142e-18,1,Pcsk5
4.298472294259434e-22,0.2496619387284823,0.885,0.627,9.108032944306314e-18,1,Dock3
4.4182621821814085e-22,0.26062739657363476,0.96,0.802,9.361855737824187e-18,1,Meg3
5.885841818213526e-22,0.29108278539093324,0.52,0.138,1.2471510228612639e-17,1,Caln1
8.235259205787193e-22,0.2465712628338732,0.88,0.541,1.7449690731142485e-17,1,Mapt
1.2217967686218124e-21,0.24263858680025424,0.83,0.392,2.588865173032758e-17,1,Elavl3
2.0943013936344834e-21,0.2236838032352485,0.83,0.418,4.437615222972107e-17,1,Myt1l
3.6842576112792025e-21,0.2711178866358035,0.725,0.379,7.806573452539502e-17,1,Hecw1
4.307604622220158e-21,0.4020872817568403,0.69,0.347,9.127383434022292e-17,1,Cntnap5a
4.681088545924807e-21,0.3833883188244793,0.695,0.422,9.918758519960074e-17,1,St6galnac5
6.168678763744749e-21,0.3087607572461446,0.725,0.472,1.3070813432498747e-16,1,Pam
1.590867201507408e-20,0.25770306859588643,0.615,0.289,3.370888513274047e-16,1,Scn9a
2.3068866194254114e-20,0.27327756280270954,0.92,0.629,4.8880620579005045e-16,1,Slc8a1
2.8603486461462796e-20,0.2231885411094211,0.78,0.448,6.060792746319352e-16,1,Pde4dip
4.003726637775155e-20,0.23014317718792554,0.845,0.455,8.483496372781776e-16,1,Ppfia2
5.0897651229251964e-20,0.34598460348918225,0.74,0.312,1.07847033189662e-15,1,Tafa1
8.936015618224483e-20,0.31961653904662357,0.76,0.429,1.893452349345586e-15,1,Gabra2
1.0664007658164646e-19,0.41712573340164405,0.785,0.517,2.259596582688507e-15,1,Mgat4c
1.177913583235614e-19,0.31491249559807,0.715,0.39,2.4958810915179428e-15,1,Cdh8
1.230061542081679e-19,0.3148497616379495,0.655,0.347,2.6063774015168695e-15,1,Nrp2
1.4036804706936884e-19,0.24150992016333153,0.6,0.183,2.974258549352856e-15,1,Fbn2
1.538707652189992e-19,0.40137310995868697,0.69,0.325,3.2603676442253743e-15,1,Lhfpl3
2.1035217939018395e-19,0.2609707736700204,0.53,0.185,4.457152329098608e-15,1,Plpp4
2.268550828882185e-19,0.2642731405489481,0.69,0.338,4.8068323513184615e-15,1,Gabrb2
2.33054087014281e-19,0.28710579533564595,0.845,0.554,4.9381830497456e-15,1,Arhgap26
2.366244820794531e-19,0.3045494729181058,0.71,0.386,5.013836150781532e-15,1,5730522E02Rik
3.744049554158015e-19,0.23139102286100466,0.955,0.756,7.933266600305418e-15,1,Nav3
6.048835817766005e-19,0.31565133595804074,0.96,0.754,1.281687821426439e-14,1,Kcnma1
6.415291839872762e-19,0.28272390046295665,0.72,0.325,1.3593361879506395e-14,1,Tmem163
6.901815825603401e-19,0.2921237685104008,0.86,0.703,1.4624257552871047e-14,1,Ahi1
8.124722121926788e-19,0.20707633822669202,0.795,0.405,1.721547370415067e-14,1,Ntng1
8.45161712978921e-19,0.27774939367470586,0.58,0.218,1.7908131536310357e-14,1,Igsf21
1.1721895241580505e-18,0.21427651338073517,0.775,0.379,2.4837523827384933e-14,1,Rab3c
1.2232017188618665e-18,0.2463548727188084,0.845,0.582,2.591842122096409e-14,1,Apba1
1.5703755980705167e-18,0.37758083894298056,0.75,0.386,3.3274688547516177e-14,1,Tmeff2
