"gene","vglut2_clusters","galr1"
"Gm29453",0.006097560975609756,0
"Gm28323",0.01016260162601626,0
"Stat4",0.054878048780487805,0
"Gm31812",0,0
"Stat1",0.08536585365853659,0.1111111111111111
"Gls",0.6626016260162602,0.8888888888888888
"Nab1",0.12804878048780488,0.3333333333333333
"Gm553",0.012195121951219513,0
"Nemp2",0.06300813008130081,0.1111111111111111
"Mfsd6",0.22560975609756098,0.2222222222222222
"Gm29670",0.0040650406504065045,0
"Inpp1",0.13617886178861788,0.2222222222222222
"Hibch",0.18292682926829268,0.2222222222222222
"1700019D03Rik",0.12398373983739837,0.2222222222222222
"1700019A02Rik",0.016260162601626018,0.1111111111111111
"Pms1",0.11382113821138211,0.2222222222222222
"Gm28777",0.006097560975609756,0
"Ormdl1",0.022357723577235773,0
"Osgepl1",0.08739837398373984,0.1111111111111111
"Asnsd1",0.07113821138211382,0.3333333333333333
"Dnah7a",0.032520325203252036,0
"Stk17b",0.01016260162601626,0
"Hecw2",0.6747967479674797,0.7777777777777778
"Ccdc150",0.03048780487804878,0.1111111111111111
"Gtf3c3",0.2032520325203252,0.5555555555555556
"Pgap1",0.4105691056910569,0.6666666666666666
"Ankrd44",0.4654471544715447,0.7777777777777778
"4930444A19Rik",0.3617886178861789,0.7777777777777778
"Sf3b1",0.5386178861788617,0.6666666666666666
"Coq10b",0.08333333333333333,0.1111111111111111
"Hspd1",0.19308943089430894,0.3333333333333333
"Hspe1",0.10365853658536585,0.3333333333333333
"Mob4",0.26422764227642276,0.4444444444444444
"Rftn2",0.10975609756097561,0.2222222222222222
"Gm10561",0.032520325203252036,0.1111111111111111
"Mars2",0.028455284552845527,0.1111111111111111
"Boll",0.0040650406504065045,0
"Plcl1",0.4166666666666667,0.3333333333333333
"Satb2",0.018292682926829267,0
"9130024F11Rik",0.0020325203252032522,0
"4930558J18Rik",0.006097560975609756,0
"1700066M21Rik",0.02032520325203252,0
"Tyw5",0.12398373983739837,0.1111111111111111
"Maip1",0.052845528455284556,0.2222222222222222
"Spats2l",0.42886178861788615,0.6666666666666666
"Gm17234",0.032520325203252036,0.2222222222222222
"Kctd18",0.15040650406504066,0.4444444444444444
"Sgo2a",0.006097560975609756,0
"Aox1",0.02032520325203252,0.1111111111111111
"Aox3",0.02032520325203252,0
"Aox4",0.024390243902439025,0
"Gm15759",0.0020325203252032522,0
"Aox2",0.006097560975609756,0
"Bzw1",0.21544715447154472,0.3333333333333333
"Clk1",0.676829268292683,0.8888888888888888
"Ppil3",0.10365853658536585,0.1111111111111111
"Nif3l1",0.1443089430894309,0.2222222222222222
"Orc2",0.2967479674796748,0.4444444444444444
"Gm15834",0.042682926829268296,0
"Fam126b",0.3048780487804878,0.4444444444444444
"Ndufb3",0.12398373983739837,0.3333333333333333
"Flacc1",0.008130081300813009,0
"Cflar",0.06707317073170732,0.1111111111111111
"Casp8",0.012195121951219513,0
"Trak2",0.22967479674796748,0.1111111111111111
"Stradb",0.12601626016260162,0.3333333333333333
"C2cd6",0.0040650406504065045,0
"Gm29018",0.03861788617886179,0.1111111111111111
"Tmem237",0.15853658536585366,0.3333333333333333
"G730003C15Rik",0.0040650406504065045,0
"Mpp4",0.032520325203252036,0.1111111111111111
"Gm29017",0.03048780487804878,0
"Als2",0.3008130081300813,0.3333333333333333
"Cdk15",0.008130081300813009,0
"Fzd7",0.0020325203252032522,0
"Gm973",0.12398373983739837,0.1111111111111111
"Sumo1",0.35365853658536583,0.5555555555555556
"Nop58",0.23170731707317074,0.2222222222222222
